reach_id_v17b,group
56467000541,calibration
56467000571,calibration
56467000601,calibration
56467000644,validation
56467000704,calibration
56467000741,calibration
56467000761,calibration
56469300011,calibration
56469300061,calibration
56469300081,validation
56469300151,validation
56469300171,calibration
56469300231,calibration
56469400021,calibration
56469400126,validation
56469500021,validation
56469500044,calibration
56469500051,calibration
56469500081,calibration
56469500144,calibration
56469500151,calibration
56469500164,calibration
56469900024,calibration
56469900084,calibration
56469900111,calibration
56470000161,calibration
56470000211,calibration
56490300011,calibration
56490300061,calibration
56490300091,calibration
56490500081,calibration
56490500121,calibration
56490700021,calibration
56490900031,calibration
56490900091,calibration
56490900131,validation
56490900211,validation
56800100291,calibration
56821700031,calibration
56821700061,validation
56828100051,calibration
56861000191,calibration
56879100061,validation
56900100121,calibration
56900100355,calibration
56900100405,validation
56900100524,calibration
56900100971,calibration
56900101041,calibration
57104000131,validation
57108000031,calibration
57108000061,calibration
57108000411,calibration
57109500061,validation
57109700031,calibration
57109900031,calibration
57201000041,validation
57202000121,calibration
57203000041,calibration
57205100051,calibration
57205100091,calibration
57205200021,calibration
57205900071,calibration
61204700141,calibration
61209300051,calibration
61209500411,calibration
61209500501,calibration
61209900131,validation
61660400021,validation
61660400081,calibration
61660400361,calibration
61660500061,calibration
61670200061,validation
61670500071,calibration
61670600061,validation
61670800191,calibration
61670800221,validation
61670800541,calibration
61670900151,validation
61670900281,calibration
61680200101,calibration
61680400061,calibration
61680700041,validation
62221600031,calibration
62222600061,calibration
62222700061,calibration
62222700141,calibration
62224100041,calibration
62224900061,validation
62225100041,calibration
62225400101,calibration
62226000171,validation
62227000451,calibration
62228500101,calibration
62228700161,calibration
62229800011,calibration
62235800171,calibration
62236700021,validation
62238000261,calibration
62241700151,calibration
62242300031,calibration
62242500061,calibration
62243900011,calibration
62244300031,calibration
62244600101,calibration
62244600481,calibration
62244600821,calibration
62244700061,calibration
62244800031,calibration
62244900091,calibration
62245300011,calibration
62247000201,calibration
62248000111,calibration
62249100011,calibration
62249900081,calibration
62249900241,validation
62251000111,calibration
62252200301,calibration
62252500201,calibration
62252600021,validation
62252700011,calibration
62252800021,calibration
62252900011,calibration
62254800341,validation
62254900241,calibration
62256200171,calibration
62256500021,calibration
62259000081,calibration
62262300191,validation
62262400021,validation
62262400811,calibration
62263300061,calibration
62263600391,validation
62263900191,validation
62264300221,calibration
62264400071,calibration
62264600111,calibration
62264700131,calibration
62264700261,calibration
62264700321,calibration
62264800051,validation
62264900011,calibration
62265200121,calibration
62265300011,calibration
62265300071,calibration
62265800021,calibration
62265800361,calibration
62265900011,calibration
62267500061,calibration
62267600181,calibration
62268100141,calibration
62268200221,validation
62268200511,calibration
62268200731,validation
62268200821,validation
62268201211,calibration
62270000211,calibration
62270000461,calibration
62282400201,calibration
62282900121,calibration
62283000061,calibration
62284200301,validation
62284400191,calibration
62284500071,validation
62284600021,calibration
62284600121,calibration
62284600191,calibration
62284700041,calibration
62284800051,validation
62284800101,calibration
62284800581,calibration
62284800671,calibration
62284800741,calibration
62284801061,calibration
62284900081,calibration
62284900091,calibration
62284900131,calibration
62286500111,calibration
62287300101,calibration
62287500311,calibration
62287800031,calibration
62287800111,validation
62287900011,calibration
62288100061,calibration
62288200091,calibration
62288200551,validation
62288500081,calibration
62289400171,validation
62289400241,calibration
62289500011,calibration
62289500131,calibration
62291000111,calibration
62292100021,calibration
62292100161,calibration
62292300121,calibration
62292300281,calibration
62292300431,calibration
62292400171,calibration
62292500441,calibration
62292500621,calibration
62292500721,calibration
62292600071,calibration
62292600271,calibration
62292600351,validation
62292600431,calibration
62292600501,calibration
62292600661,calibration
62292600701,calibration
62292600801,validation
62292600831,calibration
62292700201,calibration
62292800021,calibration
62292800071,calibration
62292800751,validation
62292900181,calibration
62292900481,calibration
62293600011,validation
62294400011,calibration
62296300511,calibration
62296300941,calibration
62296400171,calibration
62296400341,calibration
62296400471,calibration
62296401131,calibration
62296500021,validation
62296600121,validation
62296600241,calibration
62296700251,calibration
62296700461,validation
62296700591,calibration
62296700601,calibration
62296800101,calibration
62296900131,validation
62296900291,calibration
62296900361,calibration
62297200161,calibration
62297200391,validation
62297200441,calibration
62297200551,validation
62297500021,calibration
62297500151,calibration
62297500331,calibration
62297600201,calibration
62297600601,validation
62297700021,calibration
62308900061,calibration
62420300021,calibration
62420600121,validation
62441300011,calibration
62441400061,calibration
62442000081,calibration
62442000121,calibration
62443000101,calibration
62444100041,calibration
62444500021,calibration
62444500041,validation
62445400041,calibration
62445400101,validation
62445800031,calibration
62445800071,calibration
62445900023,calibration
62446500021,calibration
62446600111,calibration
62449000231,calibration
62451100061,calibration
62451300041,calibration
62451400021,calibration
62453000081,calibration
62458000051,validation
62460500051,calibration
62460600231,calibration
62460600321,calibration
62460900031,calibration
62460900121,validation
62460900191,calibration
62470900041,validation
62480100091,calibration
62480300221,calibration
62480400041,calibration
62480700031,calibration
62480900111,validation
62494000051,validation
62494000171,validation
62495100031,calibration
62495300111,calibration
62495400161,calibration
62495400271,validation
62495600111,calibration
62495600321,calibration
62495900011,calibration
62496000021,calibration
62496000091,calibration
62497000041,calibration
62498000151,validation
62499000041,calibration
62499000311,calibration
62500400311,calibration
62500600301,calibration
62500600461,calibration
62500600811,calibration
62500600881,calibration
63101000181,calibration
63102100081,calibration
63102200031,validation
63102300091,calibration
63103400271,validation
63104300171,calibration
63104900011,calibration
63106200071,calibration
63106200161,calibration
63106200171,calibration
63106500031,calibration
63106500051,calibration
63106500101,calibration
63106700061,calibration
63106700111,calibration
63108100111,calibration
63108300041,calibration
63108300081,calibration
63108500071,calibration
63108500141,calibration
63108700091,calibration
63109200181,calibration
63109200211,validation
63210400101,calibration
63210400171,calibration
63210400231,validation
63210400321,calibration
63210900011,validation
63210900121,calibration
63220100031,calibration
63220300011,calibration
63220400011,calibration
63220500101,calibration
63230000011,validation
63230000051,calibration
63240100061,calibration
63240200071,validation
63240200111,calibration
63250000071,calibration
63260100051,calibration
63280300021,calibration
63280300061,calibration
63280300171,calibration
63280500151,calibration
63280500161,calibration
63290000041,calibration
63290000101,calibration
63290000191,calibration
63301000074,calibration
63304100081,validation
63304300021,calibration
63304300231,calibration
63304400021,calibration
63304400431,calibration
63304500171,calibration
63304700041,calibration
63305000171,calibration
63305000241,validation
63306100021,calibration
63306100031,calibration
63306100051,calibration
63306100161,validation
63306300041,validation
63306500011,calibration
63306500031,calibration
63306500061,validation
63306600021,calibration
63306600051,calibration
63307800045,calibration
63307800095,validation
63308000045,calibration
63308000111,calibration
63309200041,calibration
63309200051,calibration
63309400023,calibration
